zipcode,state,City,R_2015,R_2016,R_2017,R_2018,R_2019,R_2020,R_2021,R_2022,R_2023
77494,TX,Katy,1551.5796130261915,1484.9992521385573,1498.9409254596314,1535.0290844456433,1550.80428491086,1580.6265082477037,1719.7200650086336,1892.6439936777867,1947.8848202751901
77449,TX,Katy,1306.0874417386976,1315.392091401586,1326.8445719080153,1376.266235377295,1391.0701890746766,1434.9340830293158,1590.5975396616952,1763.2519738299263,1799.4859782584274
77433,TX,Cypress,1357.268692369145,1370.242740514787,1394.5951301671394,1447.160207343952,1466.8256332022283,1519.8633808812956,1676.4414587399451,1860.5958402191363,1905.8199078754399
77573,TX,League City,1301.541531947925,1338.7611058404004,1367.7127357230645,1412.6261033482085,1432.3646457308953,1456.2974691375912,1549.1308807616167,1701.4340256031612,1762.6757588186
75052,TX,Grand Prairie,1163.3268545717083,1227.5390277300783,1289.9784050758246,1346.0621967142163,1388.5993361819571,1425.5198879370157,1589.9287640258242,1792.2257240500876,1800.1415135187767
78245,TX,San Antonio,1064.035041543313,1100.848284842941,1143.519261343064,1170.461353347269,1237.9074614029498,1258.6543816676974,1353.1025460823075,1513.5959510929215,1506.9900531832473
77479,TX,Sugar Land,1729.9186081463201,1681.975902860937,1686.1796523281046,1709.4095426016584,1737.57342689629,1755.8394648455494,1963.90248149132,2090.336491138375,2164.3072198563673
78613,TX,Cedar Park,1313.2991200876238,1335.3470783151047,1348.153452948972,1380.887936973588,1427.5870547072816,1471.86422670868,1671.601709723204,1868.933892743722,1851.1950831051145
77584,TX,Pearland,1400.3522063191176,1406.8502902476794,1410.517896181157,1445.5654818474607,1468.5491706610335,1489.231227004808,1622.0235568051403,1766.1720667977397,1794.774638770233
75035,TX,Frisco,1698.0023810015173,1742.1301676773771,1785.5732936223385,1840.6731885652136,1891.036233859946,1954.477320441986,2171.8954952665254,2448.0694666360737,2566.320773731168
76244,TX,Fort Worth,1440.5925540655962,1488.613548316708,1538.0219113085532,1588.5492091526594,1632.824425467401,1694.061729084431,1878.415980094963,2105.618287118847,2152.105076017842
76063,TX,Mansfield,1211.6838556189666,1261.3171571273313,1320.773149851932,1378.861066611246,1424.7565517476648,1458.7188798369868,1616.2406155427982,1789.114800545722,1843.0674240952583
75002,TX,Allen,1596.9777165956214,1654.4533527756018,1714.2843255203234,1747.0785423989294,1803.8609808312588,1856.3975796864086,2108.325857572943,2369.323602515153,2471.5876206314188
76028,TX,Burleson,1217.052411422719,1263.1591887457878,1334.2843122978318,1400.934710046754,1460.5278122737936,1521.365495454819,1677.0708844198264,1869.2355064818355,1922.7173018114893
76179,TX,Fort Worth,1317.6018268649852,1369.8857028994446,1438.310938523362,1495.348463083733,1552.3945401683275,1609.0217838402393,1763.8935237084795,2015.1707039966966,2095.047295794461
77095,TX,Houston,1252.8989625174004,1249.3646322498657,1257.0771331067172,1297.4075784739691,1323.3758458094105,1381.068605964514,1471.9367588945854,1627.0137393272983,1681.5018477923538
78254,TX,San Antonio,1279.9904156761797,1315.5992522863653,1363.5390973501774,1407.3771226692795,1453.4313999813237,1504.3629319154563,1657.290350494957,1815.49371079255,1878.0389941958442
75068,TX,Little Elm,1498.7838181887926,1551.2538999459048,1597.5425554062158,1648.9049093631018,1694.7091283603413,1747.5936070101664,2010.7968473308256,2241.1993674044106,2320.4968572447897
