state,zipcode,Net_Income
TX,75001,31081
TX,75002,97936
TX,75006,115491
TX,75007,100570
TX,75009,16893
TX,75010,43978
TX,75013,41155
TX,75019,47233
TX,75020,52649
TX,75021,19978
TX,75022,23480
TX,75023,81759
TX,75024,45444
TX,75025,64853
TX,75028,52128
TX,75032,47261
TX,75034,80603
TX,75035,68868
TX,75038,78240
TX,75039,23156
TX,75040,161991
TX,75041,85688
TX,75042,117136
TX,75043,148867
TX,75044,90049
TX,75048,36827
TX,75050,106844
TX,75051,111053
TX,75052,198135
TX,75054,14422
TX,75056,98751
TX,75057,38202
TX,75058,5226
TX,75060,122990
TX,75061,149891
TX,75062,131598
TX,75063,46887
TX,75065,22331
TX,75067,156952
TX,75068,78585
TX,75069,82779
TX,75070,119662
TX,75071,68263
TX,75074,108382
TX,75075,62325
TX,75076,14917
TX,75077,53014
TX,75078,21114
TX,75080,75634
TX,75081,74388
TX,75082,29406
TX,75087,45158
TX,75088,42372
TX,75089,53776
TX,75090,60066
TX,75092,50849
TX,75093,59338
TX,75094,24872
TX,75098,92279
TX,75101,1588
TX,75102,2489
TX,75103,27534
TX,75104,103520
TX,75105,566
TX,75109,7872
TX,75110,70091
TX,75114,9471
TX,75115,123440
TX,75116,51910
TX,75117,7900
TX,75119,59550
TX,75124,10203
TX,75125,17287
TX,75126,63727
TX,75127,3711
TX,75132,1017
TX,75134,60643
TX,75135,12658
TX,75137,45779
TX,75140,15629
TX,75141,10481
TX,75142,41859
TX,75143,31114
TX,75144,6864
TX,75146,58738
TX,75147,16582
TX,75148,14231
TX,75149,150000
TX,75150,160064
TX,75152,9921
TX,75153,1698
TX,75154,84053
TX,75155,6585
TX,75156,32193
TX,75157,626
TX,75158,7563
TX,75159,41339
TX,75160,61824
TX,75161,13101
TX,75163,4565
TX,75164,844
TX,75165,86396
TX,75166,6009
TX,75167,15079
TX,75169,33066
TX,75172,13351
TX,75173,11181
TX,75180,65779
TX,75181,54597
TX,75182,7442
TX,75189,45204
TX,75201,21092
TX,75202,4612
TX,75203,43282
TX,75204,55967
TX,75205,19355
TX,75206,57181
TX,75207,4620
TX,75208,71152
TX,75209,23756
TX,75210,28022
TX,75211,194248
TX,75212,80059
TX,75214,47441
TX,75215,57310
TX,75216,173753
TX,75217,245254
TX,75218,38855
TX,75219,47949
TX,75220,101351
TX,75223,38533
TX,75224,96403
TX,75225,20210
TX,75226,7498
TX,75227,166856
TX,75228,189159
TX,75229,61631
TX,75230,42207
TX,75231,110106
TX,75232,92669
TX,75233,37773
TX,75234,79999
TX,75235,46939
TX,75236,48027
TX,75237,64572
TX,75238,59210
TX,75240,64460
TX,75241,105116
TX,75243,186425
TX,75244,19634
TX,75246,6549
TX,75247,3913
TX,75248,55309
TX,75249,34126
TX,75251,6812
TX,75252,46230
TX,75253,53014
