zipcode,latitude,longitude,state,population,Net_Income,bedroom_number,bathroom_number,living_space,land_space,Year,Price
75001,32.96,-96.84,TX,16287,31081,2,3,1981,1873,2015,273859.58
75002,33.09,-96.61,TX,71102,97936,4,3,3044,3827,2015,239753.96
75006,32.96,-96.9,TX,48104,115491,3,2,1938,5075,2015,166228.03
75007,33,-96.9,TX,54448,100570,3,2,2049,6753,2015,202984.63
75009,33.34,-96.75,TX,24737,16893,4,4,3153,5374,2015,280691.57
75010,33.03,-96.9,TX,30129,43978,4,3,2632,5965,2015,276849.13
75013,33.11,-96.69,TX,44807,41155,4,4,3095,5111,2015,371127.44
75019,32.96,-96.98,TX,44324,47233,4,3,2742,5600,2015,335881.69
75020,33.77,-96.6,TX,23184,52649,3,2,2051,4445,2015,92973.99
75021,33.73,-96.48,TX,9327,19978,3,2,1641,3821,2015,101310.02
75022,33.03,-97.12,TX,26543,23480,4,4,3989,2803,2015,385223
75023,33.06,-96.73,TX,48586,81759,4,3,2149,6896,2015,219285.62
75024,33.08,-96.81,TX,43331,45444,4,4,3048,4243,2015,352036.87
75025,33.09,-96.74,TX,52881,64853,4,3,2947,6563,2015,302745.18
75028,33.03,-97.06,TX,46934,52128,3,3,2501,4733,2015,279305.61
75032,32.86,-96.43,TX,35056,47261,4,4,3769,2767,2015,269609.33
75034,33.12,-96.84,TX,45759,80603,4,4,3720,4412,2015,374590.78
75035,33.16,-96.77,TX,81512,68868,4,3,3029,6299,2015,333235.37
75038,32.87,-96.98,TX,32128,78240,4,3,2762,3817,2015,220281.07
75039,32.89,-96.94,TX,22046,23156,3,3,2135,2112,2015,404844.38
75040,32.93,-96.62,TX,64565,161991,3,2,1745,6422,2015,122480.72
75041,32.88,-96.65,TX,31451,85688,3,2,1739,5937,2015,106724.4
75042,32.91,-96.67,TX,38184,117136,4,2,1676,6334,2015,116147.21
75043,32.86,-96.58,TX,64845,148867,3,3,2181,5636,2015,132492.21
75044,32.96,-96.65,TX,45895,90049,3,3,2260,5395,2015,160997.98
75048,32.97,-96.58,TX,26956,36827,4,3,2420,4619,2015,226512.59
75050,32.77,-97,TX,43422,106844,3,2,1878,3272,2015,108930.69
75051,32.73,-96.99,TX,39783,111053,3,2,1393,6720,2015,92922.65
75052,32.66,-97.03,TX,95745,198135,3,2,2113,6384,2015,148833.6
75054,32.6,-97.03,TX,15820,14422,4,3,3095,6244,2015,281652.31
75056,33.08,-96.91,TX,64243,98751,4,3,2622,5801,2015,237460.58
75057,33.05,-96.98,TX,16855,38202,3,3,1541,5001,2015,142923.53
75058,33.45,-96.74,TX,3369,5226,4,4,3271,1,2015,255161.36
75060,32.8,-96.95,TX,49473,122990,3,2,1822,4498,2015,120757.57
75061,32.83,-96.97,TX,56959,149891,3,3,1977,5981,2015,125530.67
75062,32.85,-96.96,TX,51846,131598,3,2,1992,5283,2015,131539.72
75063,32.91,-97,TX,43705,46887,4,3,2633,4691,2015,334569.82
75065,33.11,-97.01,TX,12549,22331,3,3,2368,6072,2015,184535.69
75067,33.01,-97,TX,67837,156952,3,3,1950,4739,2015,182188.56
75068,33.18,-96.95,TX,65880,78585,4,3,2550,6083,2015,227663.94
75069,33.17,-96.6,TX,37479,82779,3,3,2483,3786,2015,225941.55
75070,33.16,-96.7,TX,54444,119662,4,3,2695,4974,2015,273185.45
75071,33.25,-96.63,TX,63828,68263,4,3,2711,5332,2015,273492.2
75074,33.03,-96.67,TX,51820,108382,4,3,2073,6524,2015,188369.06
75075,33.02,-96.74,TX,36221,62325,3,3,2105,5455,2015,237566.81
75076,33.8,-96.72,TX,8592,14917,3,2,1981,1636,2015,150813.23
75077,33.08,-97.06,TX,39125,53014,4,3,2539,3895,2015,251493.12
75078,33.25,-96.81,TX,35939,21114,4,4,3567,3594,2015,394088.58
75080,32.97,-96.74,TX,52420,75634,3,3,2206,5641,2015,216891.95
75081,32.95,-96.71,TX,36683,74388,4,3,2329,5568,2015,181574.12
75082,32.99,-96.67,TX,26801,29406,4,3,3128,6607,2015,301213.04
75087,32.95,-96.44,TX,39202,45158,4,3,2770,5827,2015,241399.24
75089,32.93,-96.54,TX,35203,53776,4,3,2471,5691,2015,189931.03
75090,33.61,-96.55,TX,24866,60066,3,2,1835,4117,2015,81551.95
75092,33.65,-96.7,TX,26794,50849,4,3,2319,3062,2015,137367.39
75093,33.04,-96.81,TX,46868,59338,4,4,3583,5705,2015,398887.4
75094,33.02,-96.61,TX,23345,24872,4,3,3164,2811,2015,313254.96
75098,33.01,-96.54,TX,64326,92279,4,3,2756,5932,2015,210874.32
75103,32.51,-95.88,TX,15900,27534,3,2,2215,1174,2015,149899.7
75104,32.58,-96.97,TX,49566,103520,4,3,3222,3390,2015,141743.35
75110,32.08,-96.52,TX,30555,70091,3,2,1891,3463,2015,83091.8
75114,32.61,-96.44,TX,6438,9471,4,2,2061,4247,2015,137278.32
75115,32.6,-96.86,TX,55879,123440,4,3,2493,4342,2015,151689.95
75116,32.66,-96.91,TX,21105,51910,3,2,1920,3366,2015,112547.58
75117,32.71,-95.85,TX,4753,7900,3,2,2005,1243,2015,132286.56
75119,32.32,-96.59,TX,28765,59550,3,3,2163,3930,2015,121928.62
75124,32.33,-95.97,TX,5205,10203,3,2,1769,563,2015,150433.73
75125,32.53,-96.62,TX,7198,17287,3,2,1839,4659,2015,123578.86
75126,32.74,-96.45,TX,60232,63727,4,3,2279,5318,2015,192120.79
75134,32.62,-96.78,TX,19341,60643,4,2,2038,6413,2015,110348.73
75135,33.07,-96.23,TX,8075,12658,4,2,1875,3735,2015,154926.31
75137,32.63,-96.91,TX,19352,45779,4,3,2315,4378,2015,125167.76
75140,32.64,-95.69,TX,7365,15629,3,2,1897,606,2015,120135.19
75141,32.64,-96.69,TX,3868,10481,3,2,1616,3287,2015,75194.65
75142,32.57,-96.25,TX,22870,41859,4,2,2214,2647,2015,133828.45
75144,32.11,-96.21,TX,4030,6864,3,3,2172,2188,2015,88309.7
75146,32.58,-96.75,TX,24873,58738,3,2,2239,5571,2015,120863.87
75148,32.12,-96.01,TX,6237,14231,3,3,2210,522,2015,140034.25
75149,32.77,-96.62,TX,59225,150000,3,2,1590,5567,2015,97750.14
75150,32.82,-96.63,TX,64817,160064,4,2,1808,5887,2015,113024.27
75154,32.52,-96.81,TX,47111,84053,4,3,2426,4184,2015,166723.34
75156,32.29,-96.1,TX,16500,32193,3,2,1853,3482,2015,157743
75158,32.47,-96.39,TX,5496,7563,3,2,2092,482,2015,160550.55
75159,32.61,-96.54,TX,22514,41339,4,2,2118,2111,2015,123070.76
75160,32.76,-96.3,TX,24465,61824,3,2,2187,3174,2015,114590.17
75161,32.74,-96.17,TX,8040,13101,3,2,1878,7,2015,146839.6
75163,32.17,-96.11,TX,2450,4565,3,2,2133,1735,2015,175108.87
75165,32.37,-96.8,TX,47183,86396,4,3,2376,5168,2015,162059.29
75166,33.02,-96.45,TX,5589,6009,4,3,2715,5106,2015,209190.05
75167,32.36,-96.92,TX,12332,15079,4,3,2776,1576,2015,219931.24
75169,32.7,-96,TX,14496,33066,3,2,2000,1267,2015,119037.1
75172,32.6,-96.67,TX,5248,13351,3,2,1092,5213,2015,63842.88
75180,32.72,-96.62,TX,26560,65779,3,2,1723,5095,2015,83596.38
75181,32.73,-96.56,TX,27336,54597,4,3,2156,5754,2015,156568.84
75182,32.8,-96.55,TX,7647,7442,4,3,23709,386,2015,347042.27
75189,32.95,-96.31,TX,35243,45204,4,3,2276,5231,2015,186109.88
75201,32.79,-96.8,TX,17491,21092,2,3,2459,1861,2015,587711.63
75202,32.78,-96.8,TX,2212,4612,2,2,1273,1,2015,197161.92
75203,32.74,-96.8,TX,16455,43282,3,2,1726,4665,2015,62590.54
75204,32.8,-96.79,TX,31860,55967,2,3,2295,2128,2015,300754.2
75205,32.84,-96.8,TX,24804,19355,4,5,4573,3904,2015,1003043.43
75206,32.83,-96.77,TX,38209,57181,3,3,2247,5718,2015,321127.7
75208,32.75,-96.84,TX,29941,71152,3,3,2049,5847,2015,182860.79
75209,32.85,-96.83,TX,14205,23756,3,3,2911,5056,2015,471241.07
75210,32.77,-96.75,TX,9270,28022,4,2,1402,4419,2015,48565.52
