zipcode,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,Net_Income
75001,273859.58,295281.26,319308.56,332937.39,333861.35,339818.07,378728.24,440760.63,454387.59,31081.0
75002,239753.96,264265.55,284191.72,296218.09,296925.02,305948.22,360917.02,456706.81,464720.11,97936.0
75006,166228.03,190571.63,211957.41,230517.64,237664.55,247785.26,278907.45,332128.56,341701.77,115491.0
75007,202984.63,229672.38,252570.85,270069.18,275111.24,285478.08,325031.65,389614.5,400732.13,100570.0
75009,280691.57,310914.56,336086.42,346691.19,347364.97,354443.47,428784.45,567323.67,557517.04,16893.0
75010,276849.13,305158.55,327202.99,342010.64,344437.48,355334.16,405842.74,497050.1,505075.28,43978.0
75013,371127.44,395342.0,413908.26,419277.51,416090.96,423575.42,501618.19,642503.01,650212.35,41155.0
75019,335881.69,361130.26,381409.78,398199.51,401535.93,411052.63,460804.44,558935.4,585216.97,47233.0
75020,92973.99,103486.42,117898.1,135057.07,145317.0,156538.27,182716.34,214626.47,218336.58,52649.0
75021,101310.02,112546.79,127553.71,143620.95,154325.8,169134.33,199412.11,236222.57,238209.2,19978.0
75022,385223.0,407879.4,424643.98,440409.82,447358.39,466271.85,548470.04,677587.82,691759.31,23480.0
75023,219285.62,244249.07,266663.74,279385.0,281339.64,290087.11,332888.48,403456.24,417803.71,81759.0
75024,352036.87,384946.0,407060.86,415696.38,413474.69,419191.6,482242.66,603643.99,619053.52,45444.0
75025,302745.18,331420.67,353659.26,361787.85,358496.04,365731.92,424499.87,533150.25,547234.69,64853.0
75028,279305.61,300977.1,319011.41,335505.81,342579.17,357488.96,411462.12,499955.16,512420.42,52128.0
75032,269609.33,289621.83,311053.49,326314.61,333631.56,344639.99,406295.63,498696.49,498205.67,47261.0
75034,374590.78,401981.6,419295.64,426948.7,420953.88,429759.5,512958.9,653122.24,653669.77,80603.0
75035,333235.37,365369.95,386299.95,392916.42,389152.17,397578.71,478498.56,622218.77,628633.81,68868.0
75038,220281.07,239569.5,263187.04,282234.66,292896.7,304873.88,343441.46,412473.17,424174.96,78240.0
75039,404844.38,421265.62,428406.42,437056.26,438438.4,447545.47,497399.17,597766.02,609505.83,23156.0
75040,122480.72,144226.76,164239.98,182610.06,192359.83,202020.25,229573.79,279158.18,287737.34,161991.0
75041,106724.4,124811.16,144721.63,161530.1,169840.77,180396.61,206370.33,248640.16,254989.78,85688.0
75042,116147.21,136783.89,157340.07,173399.0,184702.36,195431.16,222826.48,267676.5,275000.85,117136.0
75043,132492.21,152253.11,172278.26,189617.47,199217.81,209359.99,240484.7,291439.4,295693.14,148867.0
75044,160997.98,186793.86,210637.77,230568.93,237422.25,246172.26,279848.67,335777.99,342857.45,90049.0
75048,226512.59,251542.77,271410.46,285806.68,289972.21,300157.07,349600.15,432109.3,440410.58,36827.0
75050,108930.69,123292.04,142122.43,160588.54,172711.48,188174.03,217216.68,261390.77,264242.57,106844.0
75051,92922.65,108019.93,125677.03,146259.38,158120.62,172059.54,198903.48,239760.28,245706.84,111053.0
75052,148833.6,166364.63,185258.08,204884.6,217407.99,229728.83,266340.35,323516.27,327643.12,198135.0
75054,281652.31,302313.27,319483.61,334610.25,340105.92,352719.88,410220.14,500260.9,496695.28,14422.0
75056,237460.58,266558.84,290131.74,305430.3,308511.56,319603.45,372296.34,457811.55,468086.36,98751.0
