zipcode,state,City,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023
77494,TX,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
77449,TX,Katy,151032.56676456958,163981.26260584366,170701.62090587537,178898.51494270354,186724.24901956925,194306.53341992645,223289.63250128544,273262.4359541737,274389.97058787587
77084,TX,Houston,150282.39188229776,161698.09638453208,168185.80247264,173451.65514351576,182589.9024243861,191187.77767471736,219787.1738169907,264213.9269297034,268240.29194590065
79936,TX,El Paso,120197.97591352578,122715.87640798831,126302.6786612314,128403.43248672473,132271.22146076043,140227.00334975068,159298.83207691094,184177.53034983532,199986.10311912157
78660,TX,Pflugerville,211747.34486313735,232034.45376326703,244580.1528812314,252484.65923070235,258251.74131645414,275712.9560167533,372372.3898188327,458127.73170455726,412233.3840283577
77433,TX,Cypress,273805.6696963525,279222.96151948115,278777.70072595624,283571.0479958179,290657.1870924172,301056.0382164544,347467.06479533,418856.892383309,425596.5977975458
77573,TX,League City,230793.3110737617,245998.4644084793,256525.48837353077,267344.4322599996,275925.34657899354,286747.1789461885,320485.18356532353,366579.38999129855,371597.8070215761
75052,TX,Grand Prairie,148833.59700236353,166364.63033681308,185258.0767710344,204884.60462521203,217407.98893218194,229728.82696868168,266340.35016176617,323516.26946740475,327643.11923378817
78245,TX,San Antonio,148004.65803392013,158527.35602143436,167697.78234023505,177976.41695058052,187654.15950656065,197933.08401039886,227712.42402102673,270143.4301993269,271043.6583084797
78521,TX,Brownsville,85577.174668524,87144.45761787416,89859.43505708553,89405.31098676576,89467.81080634713,99154.80784676703,118223.87679957523,134583.13023668493,149343.83539981054
77479,TX,Sugar Land,371692.3353548155,376744.5873182987,372855.0615962411,374229.7479206309,373203.47480773437,375774.8285459055,416951.7591586938,491882.56109043927,509551.9919592265
78542,TX,Edinburg,97641.9661997577,102315.7678435215,104643.26261322458,108924.52233395267,112353.49254995253,124074.93092851205,143823.66598133175,168573.5065503856,178713.50401021683
77429,TX,Cypress,230494.2393773117,239389.8239532777,243057.9905433505,249369.4857119273,257132.1265777822,265622.6965156745,306049.7618492728,366485.8203915924,371690.1570249772
79938,TX,El Paso,152465.94438287456,154321.5166947907,157476.85199513737,158927.8264482531,161457.95588334653,168526.58795935923,190903.4977266457,224579.16346567872,238718.81156132655
77584,TX,Pearland,234386.70467303102,248976.6117238789,255719.6022659476,263509.8293824275,269507.0856862819,275361.27568564995,307011.7570438131,359074.9965280106,366963.89600473276
78130,TX,New Braunfels,201859.8999476484,214237.0667424133,225395.82086856294,234706.6235579596,239848.31710667806,250708.22069855334,291524.57527218905,349299.7049147896,340811.0453313397
75217,TX,Dallas,63902.36597577945,79789.97823438515,98791.70147949686,117923.39719882554,131477.586706484,142659.61755704094,165314.34974239426,201128.57508933847,204618.16061956977
77379,TX,Spring,230506.6570374807,237180.5098189209,238735.92529711095,244586.70885806892,252181.47624049906,260594.71344853312,297413.1233561321,354533.81627443776,359505.14552858163
79928,TX,Horizon City,147361.09515044038,149221.96679392538,152734.69675305908,155297.03787968418,159313.4813634129,166034.5167944236,188692.0086948535,222905.47982547886,235769.7208515305
78666,TX,San Marcos,188123.8416585813,203140.0186380068,216229.85608398914,224772.04057854926,233399.32444776897,246832.98484653825,299208.34174023697,361738.1772526233,341172.27944489906
78577,TX,Pharr,77223.63384138422,82702.92700420337,86680.94456299538,93036.48464836442,96106.41540753913,106133.21475186483,122551.23174857488,143292.06528328636,154921.98783225074
77459,TX,Missouri City,261725.8733983309,273211.0922669721,275876.3727583446,278953.04554590426,280299.97179580684,284740.2408241353,321558.99256807286,379745.8791208015,386196.05396631674
75035,TX,Frisco,333235.36684279266,365369.9485228786,386299.94514076336,392916.4202961414,389152.17401927727,397578.70593042974,478498.56098262453,622218.7724947075,628633.8056884616
76244,TX,Fort Worth,203225.7646400074,224682.1644038794,243430.14297821416,256757.9310304294,262192.087396291,273142.7656131481,320036.7901651074,394855.056494528,389730.38774412975
77083,TX,Houston,137301.53780667015,150492.98438256962,160853.84552234484,170652.54870038602,180533.90682143872,188252.37915071737,214305.29898631596,254124.8762230874,260581.59804960046
76063,TX,Mansfield,218332.4682836904,239363.69315421654,260048.53601230247,277871.9917947579,287581.6955955942,301311.4219111212,349484.19783347263,421030.7509464961,421498.25107826694
75002,TX,Allen,239753.95905514027,264265.54990822094,284191.71865121135,296218.09399750043,296925.0188455159,305948.2214896261,360917.0240838868,456706.80876771855,464720.1147453529
79912,TX,El Paso,175288.2752545581,176966.61256536268,182756.19065193107,186165.06691638893,190156.79223144692,199505.80866872417,226544.62038046625,261930.84972543493,280414.5262489758
78572,TX,Mission,99801.76937569065,106821.59642559354,109259.76373217853,112235.59258896782,117450.10616776138,126420.56022724697,144952.10785317462,169598.6338257243,180936.4338170858
75211,TX,Cockrell Hill,92785.92700724886,108981.28097503424,124545.59253944672,140565.57089671414,153663.25559036102,166786.0518742845,192663.62312104026,228845.41582956293,233564.77470652145
76028,TX,Burleson,166230.64577513954,182705.3182148745,201145.08777419434,218873.97579868857,228771.25548686364,240596.4613850936,278840.7336972884,337802.326707355,337687.9932583624
75228,TX,Dallas,113993.40714256994,134009.3843789332,156594.02441903393,177809.51680554496,190809.44423252472,203197.74537210702,234648.9476993595,275167.86011900817,278755.97047641524
76179,TX,Fort Worth,165444.5344694122,182316.80948171488,200478.60191720238,217873.4305348544,227269.10166103602,237037.84566432636,277181.49735534616,340196.9694398359,330550.3450173477
77407,TX,Richmond,236543.08987711347,249504.36005866923,252107.53849152103,256357.5787135194,259375.5463871609,266205.2867391579,309640.636025025,375795.0009307459,379723.33295883745
77095,TX,Houston,197672.92214925724,206193.98800071297,209898.37362927923,217099.00786174848,225326.04380920218,234352.78302956678,269514.31116242736,321155.1952838331,326553.782406269
77845,TX,College Station,236430.69720144742,254195.26878002414,267933.9918470394,274454.6250700071,273697.76788617234,276375.03418399446,295487.79983252496,330106.242038991,347828.8777852103
78254,TX,San Antonio,188272.57500182337,198515.21278472815,207953.01368427105,215894.94844670253,223658.1913629596,233774.50932983297,269011.6154487289,319189.91053426353,320292.717408378
78046,TX,Laredo,114223.9031655907,123162.415122036,127575.4659740171,133677.5684968463,139970.26831811326,147431.21524500384,161676.10788758154,174284.4205339883,180339.70259921442
75067,TX,Lewisville,182188.5635602722,204154.8316862778,224496.06461705497,243493.16039136195,249477.52078636145,259135.03540133208,293884.2181864392,355547.0664583635,363508.7440950485
77036,TX,Houston,96304.84800248744,103899.21079236407,110244.33285281142,115309.37962053646,121464.14976952421,127244.49243927897,140096.7531448032,162183.10834309086,169814.3492555101
78045,TX,Laredo,184909.0248084698,189610.77642689738,193004.26463369114,197468.85958494002,204797.30293939097,217379.91949980555,237384.59337917887,257285.95252701102,264544.5693333213
75068,TX,Little Elm,227663.94256165015,251459.90193052476,270048.8375693537,281385.699869594,281224.50342164835,286430.7319882049,342687.576839628,434543.0067363689,424275.96793615137
75243,TX,Dallas,120344.63071042852,139912.113018767,160402.15516803428,179796.22291463343,187300.19125030213,194283.91686310756,220901.783123626,263160.58904185594,271538.10140800214
75098,TX,Wylie,210874.3181435111,237030.69691706894,260482.60584502542,274055.1504556842,277330.1273633945,286927.75370479614,338422.65082445677,422456.50941036036,424269.4342973546
77346,TX,Atascocita,197858.71044189986,208740.82356693083,214266.05390258468,221949.82863134294,228182.1343372915,235048.02532265158,265702.751132537,315329.11069121904,316524.9244862368
75043,TX,Garland,132492.20742930274,152253.1106935115,172278.25670869867,189617.4699055353,199217.8052111145,209359.9888182924,240484.70367424376,291439.4026512517,295693.1428312005
77521,TX,Baytown,146109.35018581417,156466.00276863837,167206.5082722403,177557.19508777358,187449.6085958469,196158.7233665023,217512.70927989378,251703.89329960264,254128.39292337932
75040,TX,Garland,122480.71856784326,144226.75908653843,164239.97925311007,182610.0550183802,192359.8307243856,202020.24955856186,229573.7892787912,279158.17833344004,287737.3432628405
77072,TX,Houston,97068.0322595634,108970.50320334612,119164.9437256794,128280.67037114309,139190.31157010165,146473.76305454265,165238.40605485401,198270.0399323715,206493.65582779126
78249,TX,San Antonio,173002.550578424,184778.80331889432,195639.19387001442,206054.3232298251,213592.8697776276,224808.7082641205,256011.12992364296,299755.430838865,308012.0458506133
77373,TX,Spring,134214.16780739502,144417.21996814635,152577.4131505702,160934.93126616618,170169.4105838797,177551.25751139305,202986.80429898915,244110.82764597886,247023.07714992235
77386,TX,Spring,231284.68244804718,236479.38027674495,238595.97321281393,244898.64899853567,251430.76327464695,260360.39325588752,298220.7206482363,354647.04961806565,356365.95638247265
75150,TX,Mesquite,113024.2675536648,130546.38839376801,149426.0152583179,165931.67777320437,177235.53046394736,188060.63017989765,217145.08146364288,260742.44081327153,266254.3917997888
78574,TX,La Homa,91393.64505457903,96044.35703477733,97450.12990289053,101366.75542335917,109213.57973778388,120347.29812065147,138538.2258840475,160754.1889852653,171458.82542698743
75056,TX,The Colony,237460.57809700238,266558.83758911927,290131.7358720648,305430.2955846469,308511.5554699174,319603.44559163594,372296.34251357656,457811.55292783695,468086.3629829739
77396,TX,Humble,150377.5696799589,161221.3561810979,168238.83313211595,177413.2623268602,185844.93152870622,193289.80068196566,218013.18379608344,259494.0973073997,261123.88446794348
78640,TX,Kyle,180148.37517967634,196570.3713308278,208917.05503217547,216541.15106647823,221621.90664882687,230793.39681955564,297648.4254973315,374622.4899583555,342631.4958392156
77375,TX,Tomball,208052.62449641086,218719.74984748967,222639.16382254136,230104.45958055035,238117.87081628173,246974.2892471135,281378.87043683353,336593.49725629424,339556.6683356858
78745,TX,Austin,236781.18497930522,261277.7643255633,277350.08964531886,291290.6978345632,307152.44026267575,336976.595825258,435292.2512398169,518623.6284096485,472660.3923687212
77077,TX,Houston,294525.24993144337,302434.4482412072,303629.84094993275,300979.5621340446,301042.85797664867,301433.01739179296,327234.81598256127,365962.1087842539,373253.5675159688
78253,TX,San Antonio,227723.18684553241,234907.90338313757,240525.58993274963,247821.6833633747,255777.45454788642,265158.0239877948,303679.49830008944,359527.5713293121,358503.84874248935
75227,TX,Dallas,82185.68148398398,101731.8167146662,121875.03593148733,139531.06735220042,150657.1662836769,160432.077601043,185896.2406062704,222266.94363846138,225729.9900074074
78520,TX,Brownsville,96574.66612358093,96744.59163380238,100270.56274836411,102015.67475521239,100752.09754462437,109917.988401993,130490.59573329087,151503.3698947341,164298.88925402853
75071,TX,McKinney,273492.1962963328,299837.99573968566,317470.37125303416,324852.5704000995,324796.75084898743,333792.3703028673,402269.5501580776,519700.530795635,514455.39724574843
78501,TX,McAllen,97396.86111784635,103806.84905940584,109281.8577443935,113648.6043703532,118805.40029093651,128084.3945175197,146239.19749867104,171931.93942332023,184332.26503707387
77406,TX,Richmond,269298.66413162346,276572.8639393819,276740.62399616133,280639.09542898595,282386.2286147095,288654.84894128505,334380.10441199486,403049.08221949526,409380.90330061043
78504,TX,McAllen,147243.64634178602,154298.54255986353,158996.87874508364,163872.05011124656,169797.16208383132,178319.32427015412,201475.34965534168,235113.96074288676,247608.96789163662
78251,TX,San Antonio,151511.8585163861,162234.32074131537,170974.3029186909,179888.85446681085,189055.99130953223,199847.30368622486,229704.04305848083,271795.76774214813,275641.98167426634
79924,TX,El Paso,95460.89627028118,97444.53748676677,103283.48641934805,105119.920661618,107978.61359643149,117139.78941666459,135541.6732990455,156136.08482228772,168894.32907798042
78664,TX,Round Rock,184416.62031944204,204207.13682088826,218805.70358620957,228609.01775832943,235544.07983733786,251590.494464551,336710.5920334285,414407.09972938197,371067.93052810396
78681,TX,Round Rock,264403.7347185894,282832.35850591795,296326.59220802825,306457.29659891693,314590.45296426275,340188.0622207557,455545.3927047504,554489.7282763956,505720.4509313967
76137,TX,Fort Worth,151099.68894275298,169873.09276971486,189308.04948897904,206385.83301100982,214973.50898267716,225473.62740139881,263017.7445906783,324915.7906138891,325033.1386849148
77015,TX,Houston,100181.4452912801,109609.14824323483,118799.52848643299,127892.38545230083,139403.2364705993,148577.00477371563,167302.1688972153,196607.43792458807,203011.54792667838
77070,TX,Houston,175468.33441614988,185531.01862943405,190421.68590926277,196604.1933438092,205114.03841951746,213531.29572060544,242673.97963672472,286439.33970707614,291586.29655746726
75115,TX,Desoto,151689.95477898253,169543.2744554736,188613.1629462165,207711.3044330248,220656.25564648406,232217.07535629414,270897.9953615546,328450.60093562683,330915.92689067184
78526,TX,Brownsville,127097.38119250227,129778.16516587227,133254.0783388474,137426.8290683072,132287.4059848332,138873.4634124268,162934.73488274106,193482.5175880914,207738.5763855989
78753,TX,Austin,177468.3796341525,203243.51181569716,223163.55525632927,235643.69803175144,249627.74068358997,275126.552709234,357536.0509910018,419489.5182409147,382047.40426799725
78228,TX,San Antonio,97343.98309462461,109136.53819364267,121181.85694824326,131997.93832908172,138574.08608770437,150222.27147232098,170365.09728893946,192337.74272508497,188984.8908823748
78250,TX,San Antonio,135104.4069328818,146435.73194367555,157358.56656777867,166864.0364126624,174991.10689292438,185628.84427503022,211990.64657285213,249173.69718291922,253428.79004709134
76010,TX,Arlington,86391.38252434657,99833.66147494603,118108.03444397711,137642.33267277942,149709.58731952327,163950.3511468324,190338.33224599645,227289.99097025883,231225.89453481007
78240,TX,San Antonio,152734.69257106353,164331.50787518843,174944.20761122412,184027.18269985123,190301.69527274824,200339.26498305556,228218.6636891193,266195.14296723274,270915.85222461924
75149,TX,Mesquite,97750.13780663665,115460.5703161336,135205.43699594788,152800.7142364576,163341.81010864515,172775.44399858022,198623.4088283267,241957.69204477625,247677.22550143074
77082,TX,Houston,148725.64694802134,158886.50672755967,167461.06432441197,177167.10957302563,184417.92940101787,190308.9194927905,213658.00330046835,249134.96031251003,255585.40201846958
75070,TX,McKinney,273185.45430362696,297036.99791639677,315071.8233963556,321895.0307901332,319403.18558962044,326795.55163445533,390126.33953582967,498136.36386169033,497728.03286189435
77469,TX,Rosenberg,207702.34659836043,220556.81250780806,226113.96119180668,232181.61383048494,236786.87967870248,243428.65536208858,277838.9276708352,332717.03920037294,334937.25513780036
77044,TX,Houston,181563.1484818859,190625.99646848385,195865.4050175266,201271.1842451701,207535.41902184137,214103.96909721367,240145.32512098915,282920.1212291094,286218.23885445937
75061,TX,Irving,125530.67037754762,142185.32322962015,160691.30058721578,182058.91537718065,195306.76023386675,209741.69430040134,238380.92131895138,280426.5201873042,287697.34393050644
75007,TX,Carrollton,202984.62868118114,229672.3799833624,252570.84905149668,270069.1778975247,275111.24088792346,285478.08279615873,325031.6548007868,389614.5002641035,400732.1276595954
78550,TX,Harlingen,102515.24086107926,103113.24545453418,107679.04401160788,110358.31090459977,107193.42575579048,114522.65385880333,133033.26321490138,152469.02091571203,158142.59624347938
77840,TX,College Station,179743.14587863037,193644.46836670756,207080.68083081595,216662.07159615282,210099.43899831874,210220.9335007559,225502.50115710244,251541.72072500174,270804.27556914825
77581,TX,Pearland,216336.23781067354,232023.29847834577,240462.72732585948,251983.77430292685,262292.40421518177,271061.9178098724,299529.67494629737,346457.57292666595,354023.59372474934
78852,TX,Eagle Pass,153801.06697583932,154804.64603357037,153518.9207788893,153014.71994318964,145776.7024416982,150375.99357342444,166043.9492804906,180116.22241704888,182147.6064224304
77088,TX,Houston,101097.32007006911,113445.36398539382,121925.5407652972,130498.34285496268,140065.531626703,149123.12847264332,171116.0207734758,205640.89331196574,213786.75811048326
75126,TX,Forney,192120.7923493036,210701.8379669674,228514.22085126702,240099.16131524707,244812.85528155506,250259.15610753628,293559.15137896966,359205.7234460793,346539.4519277464
75025,TX,Plano,302745.1845460713,331420.6740322881,353659.25819959416,361787.8479318482,358496.0380346626,365731.91898055474,424499.8692213299,533150.2465330026,547234.6887239756
77546,TX,Friendswood,226141.19789474705,240778.94490604397,252329.7981335936,262644.4714191412,271575.27710584464,286045.82494796236,322673.80412310216,371618.2123965605,377819.7460993646
75216,TX,Dallas,49628.683274964984,59989.944438340324,71808.66188524349,90906.06520415145,105424.72185168642,122078.83389410759,145927.86185011503,176874.7358431034,176048.49579004687
78586,TX,San Benito,87222.99837641537,89496.4739762572,92438.60400797224,91113.13428646036,88907.70655664848,95222.31534671992,111251.33165997971,122214.2331424355,124143.38346080374
75080,TX,Richardson,216891.95049922887,246045.71503667618,274071.5387099455,295573.34225643735,301891.8134534692,314211.96684078017,351709.573762846,409807.8540411894,428009.5689752317
76549,TX,Killeen,126258.9719276172,128761.77782454692,131718.43389784303,136810.8641221189,144722.89218735739,155321.17705378679,184602.34540345953,228541.51678098997,235174.07085099252
77498,TX,Sugar Land,189532.45321412582,203131.0141816208,209364.05783206027,217152.1748039569,222476.1839724407,229246.3867288929,258453.04311417878,307243.9528709304,316889.9651704852
77388,TX,Spring,180448.89571366354,188746.99890977016,192503.0806620597,199716.75314822362,207682.70932828108,216088.01473305363,248008.10277452823,294847.4709662473,296791.2605722953
77089,TX,Houston,147153.93125599646,160036.04345731242,171689.61208440634,183055.1856302586,194445.7611863157,202926.63397917096,227229.41240338123,259471.10810123116,261738.27664513994
76133,TX,Fort Worth,113456.29375372709,127745.81206486037,144200.75504085884,162864.71610097392,173176.84857399625,184881.45325949616,217409.34340892176,263267.6617037126,265482.4808981013
78155,TX,Seguin,176823.24318182547,186637.95748011387,196608.44353086242,204822.11871338228,211496.4714941175,223609.25529600435,255112.08767076163,294928.721768559,293361.6026980603
75287,TX,Dallas,257121.89736784282,282718.7108265466,303747.5666896656,314199.0749759851,315534.2282525956,325001.3759015428,367532.5676709996,437957.68805599614,450547.43597478064
75104,TX,Cedar Hill,141743.35428838056,157799.10137113743,175707.298836817,194773.71791991874,207818.8313420946,220211.74971456578,257959.1783887802,314139.83383365255,316922.07293670706
76119,TX,Fort Worth,60628.637547216465,70995.4192205535,84242.70936875218,100184.78650912955,114847.85219118105,128672.3043949628,150233.80804293902,179789.15419439526,185360.68040762976
79907,TX,El Paso,93515.59923189913,96027.24691945966,100308.38322578972,101578.72625111818,104045.77367657227,111231.51196202921,126647.18980746076,142791.4480456568,156222.72034090763
78758,TX,Austin,184555.83645567068,215157.69269756597,237399.7102283896,255121.83276775703,274919.4667648797,307929.15238721704,396804.55068455864,454909.3348429655,419793.48166205856
78247,TX,San Antonio,158128.59683601678,169902.3334028608,181715.82640764987,192499.14093928094,200829.04951718566,211231.35356338878,239529.13670469995,280552.9327545388,287722.2226350665
78537,TX,Donna,63868.48375819077,66003.19803705653,68196.06267617251,74203.0128237281,75834.69099044424,85348.22416075374,100837.31311415076,118033.46677801658,129638.0699853906
75074,TX,Plano,188369.05510445498,212944.68059127312,236210.96929160928,250852.88160228802,254475.02341387514,262595.7643438529,300320.0027173351,362807.0933599406,373441.63522023946
78207,TX,San Antonio,57535.07095904875,66447.5900313588,73490.79303433855,82632.9720591732,88442.40092487785,99542.289705324,116147.45963553873,126289.96436452033,122878.60523710365
78704,TX,Austin,478402.5523633535,501902.45883004816,515391.32693575183,536787.607514799,557330.7570919269,606516.4858093808,777041.058184661,972420.8996527853,882102.9449415026
76116,TX,Fort Worth,140711.31105888324,157762.7788468794,175583.73366412809,191251.93516845815,199096.0132567752,209191.18177086452,240809.5234172082,286534.0352800304,287041.7443745484
78223,TX,San Antonio,104403.27609949706,115565.19612903365,126220.72694942883,138351.04469691947,146576.8981028332,156304.03077482278,176072.41402924006,201919.95652427804,199123.856771451
78748,TX,Austin,244480.01102253026,263961.15119590034,276605.76062592556,287145.0589065381,296147.3052484412,318724.3618769014,421710.0063180165,498738.45820923935,453220.8133131747
79424,TX,Lubbock,201207.50055968817,198606.20197506997,213909.1389512329,222161.161986677,214415.1150601052,220898.373695921,244833.95677451752,277889.3607258288,284904.06510859827
75062,TX,Irving,131539.7205476365,149235.75637757094,171930.53732460158,194646.9843610271,206800.56739143317,220159.87065308265,248116.63704926663,291309.1914285762,297069.45427713403
77040,TX,Houston,149281.51595667397,160649.21961376822,167847.06379198295,175995.33642843994,183802.0536972877,191843.1615088568,217296.43399973863,254620.99832767298,261999.70804518438
77064,TX,Houston,154057.79816322165,164958.60355446438,170873.63826427664,177749.53799825904,187150.74147795516,195811.8464441815,223100.9392325353,264299.5928818054,269103.35934075026
76542,TX,Killeen,150615.37283321304,153350.40680716964,156451.32782134032,161866.49908652986,169760.4168101032,180463.52285745894,211339.7038659089,256946.02820749753,261195.63086886043
76051,TX,Grapevine,274378.4288245984,300748.8498056987,320981.52992048423,339184.1184603149,347914.1160866397,362484.8581137426,407987.23790273437,488755.4972896604,504127.4097285227
77511,TX,Alvin,161087.87378927207,173112.40068783416,184430.21595236182,195508.99052249806,205502.46970891,214653.8351575107,239762.86025392156,272267.9708280512,276144.78996004374
75006,TX,Carrollton,166228.03423481414,190571.631296195,211957.4127698991,230517.64010240548,237664.5478855157,247785.2642113593,278907.4548917426,332128.56220097706,341701.7674945112
77539,TX,Dickinson,161431.63565108474,174819.74585576224,186755.51969315266,194789.80891951782,203219.15349718495,215471.13006185892,241083.95542104065,275754.2272963829,277095.8316499953
78744,TX,Austin,164229.16037972036,188979.7637232755,204301.27774114,216715.21293131172,228991.0871989668,251586.98644075764,336301.1582209709,407872.0464985957,371269.7850527555
75033,TX,Frisco,350839.2156013457,380643.45968751836,398272.80279277294,404396.90279699885,399362.3292596282,410823.6665945489,499773.36043361906,646659.1415440894,640102.3795048407
77099,TX,Houston,107029.95848640749,119116.09884599305,128585.75460494374,138480.05453963,148314.05065442223,155923.29341967803,175653.2543104624,210099.67463779508,216719.13735321985
78541,TX,Edinburg,100316.29693141372,106768.81002798311,109197.12343047948,114737.03166440393,121633.44705876308,132349.317158893,151570.06983317717,175133.8294799799,185800.06132023985
78041,TX,Laredo,160260.88761426051,165566.49635077428,167725.22792967616,173290.5565939007,180171.56966118023,193829.77646833542,208865.96277818954,221352.45344589232,228332.68466511034
75044,TX,Garland,160997.9799273939,186793.85933667133,210637.76534964508,230568.92755940094,237422.24860323477,246172.25709709965,279848.6651037166,335777.98955838,342857.44928708544
75060,TX,Irving,120757.57256809335,137344.44260338097,155802.73821990035,173229.8656400637,186149.01897546343,202000.7456570123,229199.85330985396,273738.15957402455,283301.04312896344
77338,TX,Humble,129147.15510038368,139982.81203286056,147594.81921212524,156309.88498685547,164864.67589196822,172986.10627132675,197729.21170687233,237852.54684360465,239666.36639869743
78840,TX,Del Rio,120569.84308913814,125063.17215824703,130459.46228699006,134127.936055947,142964.62731366578,156900.63057567968,173002.75860461927,192423.58116408737,191383.77048515293
75093,TX,Plano,398887.40398035635,424743.40635533095,445172.20331644383,457433.8490898207,458550.32136458275,469446.545037567,538407.69759269,657867.1184859504,685758.27117486
75023,TX,Plano,219285.6240321568,244249.07054133763,266663.73577809887,279384.997017816,281339.6359797643,290087.1065222618,332888.4829870136,403456.24230484874,417803.7055537474
77093,TX,Houston,76493.02285002166,82044.31298078656,88019.24778930232,99595.13257351104,111774.29860695939,123743.86751979146,140449.30230046168,163319.66810306412,166957.51255633673
77081,TX,Houston,173182.18466332005,179717.52510597705,183745.550999905,184400.3138584698,188748.11828984602,191965.39394058983,209231.44307021447,232168.6212866468,240314.0529601329
75165,TX,Waxahachie,162059.2876550673,178863.7941533283,197962.46028878997,215859.1249443116,225182.27387923442,238666.402654194,278669.9050386055,333064.606218316,333616.2812271893
78258,TX,San Antonio,301880.3861811799,313041.922142503,322938.0793977795,331801.92482703086,337688.76188651007,348472.9742441054,398148.7965946205,472442.20299184974,489803.322878234
78201,TX,San Antonio,98185.40086055997,112719.43667724288,129477.6451268025,143519.79670737454,148098.34987489722,161486.4571948955,182160.71050212168,198353.46557667395,191161.6796585435
