zipcode,latitude,longitude,state,population,2015,2016,2017,2018,2019,2020,2021,2022,2023,Net_Income,bedroom_number,bathroom_number,living_space,land_space
75001,32.96015,-96.83808,TX,16287,273859.5782,295281.2613,319308.556,332937.3944,333861.3519,339818.072,378728.2387,440760.6263,454387.5857,31081,2,3,1981,1873
75002,33.08946,-96.60639,TX,71102,239753.9591,264265.5499,284191.7187,296218.094,296925.0188,305948.2215,360917.0241,456706.8088,464720.1147,97936,4,3,3044,3827
75006,32.96165,-96.89717,TX,48104,166228.0342,190571.6313,211957.4128,230517.6401,237664.5479,247785.2642,278907.4549,332128.5622,341701.7675,115491,3,2,1938,5075
75007,33.00498,-96.8959,TX,54448,202984.6287,229672.38,252570.8491,270069.1779,275111.2409,285478.0828,325031.6548,389614.5003,400732.1277,100570,3,2,2049,6753
75009,33.3384,-96.75185,TX,24737,280691.5702,310914.5647,336086.4226,346691.1886,347364.9677,354443.4702,428784.4504,567323.6698,557517.0386,16893,4,4,3153,5374
75010,33.03058,-96.90148,TX,30129,276849.128,305158.5509,327202.9916,342010.6415,344437.4807,355334.1649,405842.7436,497050.1003,505075.2802,43978,4,3,2632,5965
75013,33.11463,-96.69413,TX,44807,371127.4413,395342.0007,413908.2633,419277.5071,416090.9565,423575.4248,501618.1932,642503.01,650212.3463,41155,4,4,3095,5111
75019,32.96183,-96.984,TX,44324,335881.6944,361130.2574,381409.7782,398199.5109,401535.9335,411052.6273,460804.4418,558935.3977,585216.9727,47233,4,3,2742,5600
75020,33.77264,-96.60391,TX,23184,92973.99397,103486.419,117898.1022,135057.0689,145317.0034,156538.2704,182716.3419,214626.4677,218336.5797,52649,3,2,2051,4445
75021,33.72686,-96.47552,TX,9327,101310.0156,112546.7909,127553.7139,143620.9505,154325.8047,169134.3264,199412.1117,236222.571,238209.2032,19978,3,2,1641,3821
75022,33.02554,-97.11871,TX,26543,385223.0028,407879.3997,424643.9814,440409.8168,447358.3907,466271.8515,548470.0373,677587.8204,691759.3141,23480,4,4,3989,2803
75023,33.05657,-96.73286,TX,48586,219285.624,244249.0705,266663.7358,279384.997,281339.636,290087.1065,332888.483,403456.2423,417803.7056,81759,4,3,2149,6896
75024,33.07712,-96.80826,TX,43331,352036.8684,384945.9957,407060.8604,415696.3811,413474.6869,419191.6001,482242.6577,603643.9945,619053.5154,45444,4,4,3048,4243
75025,33.09057,-96.74061,TX,52881,302745.1845,331420.674,353659.2582,361787.8479,358496.038,365731.919,424499.8692,533150.2465,547234.6887,64853,4,3,2947,6563
75028,33.03382,-97.0629,TX,46934,279305.6145,300977.0951,319011.4134,335505.8147,342579.17,357488.9604,411462.116,499955.1599,512420.4242,52128,3,3,2501,4733
