zipcode,latitude,longitude,city,state,population,density,state_x,City,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,Net_Income
75001,32.96015,-96.83808,Addison,TX,16287.0,1675.8,TX,Addison,273859.5782475913,295281.2613456147,319308.55602813297,332937.3944213751,333861.351906673,339818.07198081067,378728.23868940136,440760.6263224802,454387.5857025763,31081.0
75002,33.08946,-96.60639,Allen,TX,71102.0,730.5,TX,Allen,239753.95905514027,264265.54990822094,284191.71865121135,296218.09399750043,296925.0188455159,305948.2214896261,360917.0240838868,456706.80876771855,464720.1147453529,97936.0
75006,32.96165,-96.89717,Carrollton,TX,48104.0,1087.9,TX,Carrollton,166228.03423481414,190571.631296195,211957.4127698991,230517.64010240548,237664.5478855157,247785.2642113593,278907.4548917426,332128.56220097706,341701.7674945112,115491.0
75007,33.00498,-96.8959,Carrollton,TX,54448.0,1765.6,TX,Carrollton,202984.62868118114,229672.3799833624,252570.84905149668,270069.1778975247,275111.24088792346,285478.08279615873,325031.6548007868,389614.5002641035,400732.1276595954,100570.0
75009,33.3384,-96.75185,Celina,TX,24737.0,96.8,TX,Celina,280691.5702081434,310914.56473870244,336086.4225572226,346691.18860684935,347364.96771593805,354443.4702256827,428784.4503641043,567323.6697899585,557517.0385609447,16893.0
75010,33.03058,-96.90148,Carrollton,TX,30129.0,1707.6,TX,Carrollton,276849.128037534,305158.55086206837,327202.9915868482,342010.64153273526,344437.48073404364,355334.16492037155,405842.74360631424,497050.1003032492,505075.28015020303,43978.0
75013,33.11463,-96.69413,Allen,TX,44807.0,1150.0,TX,Allen,371127.4412918682,395342.0007344484,413908.2632556975,419277.5070865512,416090.9565086101,423575.4248148033,501618.1931609832,642503.0099591427,650212.3462603634,41155.0
75019,32.96183,-96.984,Coppell,TX,44324.0,995.8,TX,Coppell,335881.69437292364,361130.2573646861,381409.77822520986,398199.51085221226,401535.9335209458,411052.62725847337,460804.44184181606,558935.3976566343,585216.9726580547,47233.0
75020,33.77264,-96.60391,Denison,TX,23184.0,146.7,TX,Denison,92973.99397038446,103486.41901880305,117898.10221236794,135057.06888183716,145317.00341487638,156538.27041852075,182716.34185734167,214626.46767338816,218336.57970005693,52649.0
75021,33.72686,-96.47552,Denison,TX,9327.0,61.7,TX,Denison,101310.01556526254,112546.79092998897,127553.71390753462,143620.95048141837,154325.80472745627,169134.32635915882,199412.11169686704,236222.57099605273,238209.2032437814,19978.0
75022,33.02554,-97.11871,Flower Mound,TX,26543.0,524.3,TX,Flower Mound,385223.002819251,407879.399712834,424643.9814478703,440409.816827523,447358.3906593256,466271.8515359538,548470.037321609,677587.8203727198,691759.3141439286,23480.0
75023,33.05657,-96.73286,Plano,TX,48586.0,2039.3,TX,Plano,219285.6240321568,244249.07054133763,266663.73577809887,279384.997017816,281339.6359797643,290087.1065222618,332888.4829870136,403456.24230484874,417803.7055537474,81759.0
75024,33.07712,-96.80826,Plano,TX,43331.0,1291.6,TX,Plano,352036.86843399046,384945.99574243213,407060.8603593361,415696.38112365623,413474.6868827737,419191.60011134733,482242.6576586413,603643.9944576792,619053.5153928712,45444.0
75025,33.09057,-96.74061,Plano,TX,52881.0,2137.1,TX,Plano,302745.1845460713,331420.6740322881,353659.25819959416,361787.8479318482,358496.0380346626,365731.91898055474,424499.8692213299,533150.2465330026,547234.6887239756,64853.0
75028,33.03382,-97.0629,Flower Mound,TX,46934.0,1164.7,TX,Flower Mound,279305.6144509718,300977.0950614956,319011.41339604376,335505.81468987936,342579.1700168278,357488.9604404743,411462.1160007478,499955.15994132496,512420.42418197746,52128.0
75032,32.85756,-96.42858,Rockwall,TX,35056.0,281.3,TX,Rockwall,269609.33082822093,289621.8296107654,311053.4948807316,326314.61320920155,333631.5626364146,344639.987867919,406295.62987477676,498696.48778344784,498205.6705682462,47261.0
75034,33.12084,-96.83778,Frisco,TX,45759.0,1108.1,TX,Frisco,374590.77622512355,401981.59981887974,419295.63742032106,426948.7018070991,420953.87581762456,429759.5008705384,512958.8975927585,653122.2421666066,653669.771722266,80603.0
75035,33.15814,-96.7734,Frisco,TX,81512.0,1263.9,TX,Frisco,333235.36684279266,365369.9485228786,386299.94514076336,392916.4202961414,389152.17401927727,397578.70593042974,478498.56098262453,622218.7724947075,628633.8056884616,68868.0
75038,32.87231,-96.97946,Irving,TX,32128.0,1624.0,TX,Irving,220281.07139615397,239569.4955393487,263187.04334756685,282234.66482310736,292896.70227969135,304873.87953887915,343441.4596741367,412473.17077667225,424174.9555623176,78240.0
75039,32.88592,-96.94042,Irving,TX,22046.0,1497.6,TX,Irving,404844.37926339713,421265.61727583274,428406.4201565301,437056.26292672334,438438.39921397035,447545.47004016285,497399.16700118856,597766.0244875103,609505.825448277,23156.0
75040,32.92797,-96.62006,Garland,TX,64565.0,1588.1,TX,Garland,122480.71856784326,144226.75908653843,164239.97925311007,182610.0550183802,192359.8307243856,202020.24955856186,229573.7892787912,279158.17833344004,287737.3432628405,161991.0
75041,32.88101,-96.65149,Garland,TX,31451.0,1532.5,TX,Garland,106724.40344492218,124811.15970951885,144721.63062505817,161530.09962993083,169840.77405439536,180396.61059589786,206370.3318731319,248640.16186685546,254989.78492755577,85688.0
75042,32.91401,-96.67466,Garland,TX,38184.0,1931.7,TX,Garland,116147.21357554705,136783.89199734761,157340.07398639797,173398.9984570203,184702.3585391733,195431.16283165888,222826.47858497567,267676.5032687715,275000.8517460379,117136.0
75043,32.8571,-96.57986,Garland,TX,64845.0,1707.0,TX,Garland,132492.20742930274,152253.1106935115,172278.25670869867,189617.4699055353,199217.8052111145,209359.9888182924,240484.70367424376,291439.4026512517,295693.1428312005,148867.0
75044,32.96299,-96.6531,Garland,TX,45895.0,1678.6,TX,Garland,160997.9799273939,186793.85933667133,210637.76534964508,230568.92755940094,237422.24860323477,246172.25709709965,279848.6651037166,335777.98955838,342857.44928708544,90049.0
75048,32.9704,-96.58139,Sachse,TX,26956.0,1069.5,TX,Sachse,226512.58648321126,251542.77468208547,271410.4607221309,285806.6754693023,289972.212937684,300157.07017699693,349600.1460756866,432109.3021377658,440410.5818561193,36827.0
