zipcode,latitude,longitude,state,population,bedroom_number,bathroom_number,living_space,land_space,year_built,2015,2016,2017,2018,2019,2020,2021,2022,2023,net_income,2024
75001,32.96015,-96.83808,TX,16287,2,3,1981,1873,2003,273859.58,295281.26,319308.56,332937.39,333861.35,339818.07,378728.24,440760.63,454387.59,31081,449588.54
75002,33.08946,-96.60639,TX,71102,4,3,3044,3827,1976,239753.96,264265.55,284191.72,296218.09,296925.02,305948.22,360917.02,456706.81,464720.11,97936,464217.64
75006,32.96165,-96.89717,TX,48104,3,2,1938,5075,2001,166228.03,190571.63,211957.41,230517.64,237664.55,247785.26,278907.45,332128.56,341701.77,115491,341373.08
75007,33.00498,-96.8959,TX,54448,3,2,2049,6753,1915,202984.63,229672.38,252570.85,270069.18,275111.24,285478.08,325031.65,389614.5,400732.13,100570,393653.27
75009,33.3384,-96.75185,TX,24737,4,4,3153,5374,2000,280691.57,310914.56,336086.42,346691.19,347364.97,354443.47,428784.45,567323.67,557517.04,16893,582376.26
75010,33.03058,-96.90148,TX,30129,4,3,2632,5965,1993,276849.13,305158.55,327202.99,342010.64,344437.48,355334.16,405842.74,497050.1,505075.28,43978,510321.72
75013,33.11463,-96.69413,TX,44807,4,4,3095,5111,2004,371127.44,395342,413908.26,419277.51,416090.96,423575.42,501618.19,642503.01,650212.35,41155,657509.42
75019,32.96183,-96.984,TX,44324,4,3,2742,5600,1973,335881.69,361130.26,381409.78,398199.51,401535.93,411052.63,460804.44,558935.4,585216.97,47233,574974.85
75020,33.77264,-96.60391,TX,23184,3,2,2051,4445,1931,92973.99,103486.42,117898.1,135057.07,145317,156538.27,182716.34,214626.47,218336.58,52649,214995.93
75021,33.72686,-96.47552,TX,9327,3,2,1641,3821,1939,101310.02,112546.79,127553.71,143620.95,154325.8,169134.33,199412.11,236222.57,238209.2,19978,234543.34
75022,33.02554,-97.11871,TX,26543,4,4,3989,2803,1965,385223,407879.4,424643.98,440409.82,447358.39,466271.85,548470.04,677587.82,691759.31,23480,686777.62
75023,33.05657,-96.73286,TX,48586,4,3,2149,6896,2005,219285.62,244249.07,266663.74,279385,281339.64,290087.11,332888.48,403456.24,417803.71,81759,412527.59
75024,33.07712,-96.80826,TX,43331,4,4,3048,4243,1962,352036.87,384946,407060.86,415696.38,413474.69,419191.6,482242.66,603643.99,619053.52,45444,620849.3
75025,33.09057,-96.74061,TX,52881,4,3,2947,6563,2006,302745.18,331420.67,353659.26,361787.85,358496.04,365731.92,424499.87,533150.25,547234.69,64853,545283.57
75028,33.03382,-97.0629,TX,46934,3,3,2501,4733,1960,279305.61,300977.1,319011.41,335505.81,342579.17,357488.96,411462.12,499955.16,512420.42,52128,503671.83
75032,32.85756,-96.42858,TX,35056,4,4,3769,2767,1929,269609.33,289621.83,311053.49,326314.61,333631.56,344639.99,406295.63,498696.49,498205.67,47261,505662.46
75034,33.12084,-96.83778,TX,45759,4,4,3720,4412,1970,374590.78,401981.6,419295.64,426948.7,420953.88,429759.5,512958.9,653122.24,653669.77,80603,669175.74
75035,33.15814,-96.7734,TX,81512,4,3,3029,6299,1967,333235.37,365369.95,386299.95,392916.42,389152.17,397578.71,478498.56,622218.77,628633.81,68868,624915.77
75038,32.87231,-96.97946,TX,32128,4,3,2762,3817,2004,220281.07,239569.5,263187.04,282234.66,292896.7,304873.88,343441.46,412473.17,424174.96,78240,429034.75
75039,32.88592,-96.94042,TX,22046,3,3,2135,2112,1958,404844.38,421265.62,428406.42,437056.26,438438.4,447545.47,497399.17,597766.02,609505.83,23156,617890.47
75040,32.92797,-96.62006,TX,64565,3,2,1745,6422,2005,122480.72,144226.76,164239.98,182610.06,192359.83,202020.25,229573.79,279158.18,287737.34,161991,289978.34
75041,32.88101,-96.65149,TX,31451,3,2,1739,5937,1930,106724.4,124811.16,144721.63,161530.1,169840.77,180396.61,206370.33,248640.16,254989.78,85688,255390.31
75042,32.91401,-96.67466,TX,38184,4,2,1676,6334,2002,116147.21,136783.89,157340.07,173399,184702.36,195431.16,222826.48,267676.5,275000.85,117136,279411.75
75043,32.8571,-96.57986,TX,64845,3,3,2181,5636,1976,132492.21,152253.11,172278.26,189617.47,199217.81,209359.99,240484.7,291439.4,295693.14,148867,300698.28
75044,32.96299,-96.6531,TX,45895,3,3,2260,5395,1968,160997.98,186793.86,210637.77,230568.93,237422.25,246172.26,279848.67,335777.99,342857.45,90049,342975.27
75048,32.9704,-96.58139,TX,26956,4,3,2420,4619,2007,226512.59,251542.77,271410.46,285806.68,289972.21,300157.07,349600.15,432109.3,440410.58,36827,441007.42
75050,32.77428,-97.0037,TX,43422,3,2,1878,3272,1951,108930.69,123292.04,142122.43,160588.54,172711.48,188174.03,217216.68,261390.77,264242.57,106844,266731.34
75051,32.72635,-96.99375,TX,39783,3,2,1393,6720,2007,92922.65,108019.93,125677.03,146259.38,158120.62,172059.54,198903.48,239760.28,245706.84,111053,246729.89
75052,32.66455,-97.02809,TX,95745,3,2,2113,6384,1957,148833.6,166364.63,185258.08,204884.6,217407.99,229728.83,266340.35,323516.27,327643.12,198135,328038.12
75054,32.60036,-97.03409,TX,15820,4,3,3095,6244,1927,281652.31,302313.27,319483.61,334610.25,340105.92,352719.88,410220.14,500260.9,496695.28,14422,507811.35
75056,33.07541,-96.90978,TX,64243,4,3,2622,5801,1920,237460.58,266558.84,290131.74,305430.3,308511.56,319603.45,372296.34,457811.55,468086.36,98751,463184.58
75057,33.05012,-96.9772,TX,16855,3,3,1541,5001,1966,142923.53,161970.58,179971.82,200847.24,210221.89,222033.83,250995.53,300690.48,308760.35,38202,309376.91
75058,33.4473,-96.73546,TX,3369,4,4,3271,1,2007,255161.36,282344.2,316005,348848.63,370600.29,396397.67,468960.37,576827.11,605239.6,5226,583572.47
75060,32.79774,-96.95295,TX,49473,3,2,1822,4498,1959,120757.57,137344.44,155802.74,173229.87,186149.02,202000.75,229199.85,273738.16,283301.04,122990,280897.79
75061,32.82607,-96.96563,TX,56959,3,3,1977,5981,2005,125530.67,142185.32,160691.3,182058.92,195306.76,209741.69,238380.92,280426.52,287697.34,149891,290238.63
75062,32.847,-96.95813,TX,51846,3,2,1992,5283,2004,131539.72,149235.76,171930.54,194646.98,206800.57,220159.87,248116.64,291309.19,297069.45,131598,299533.87
75063,32.90797,-96.9961,TX,43705,4,3,2633,4691,1994,334569.82,357156.29,376060.88,390414.56,393473.81,406633.65,458117.66,562247.53,582116.9,46887,579632.86
75065,33.11108,-97.01277,TX,12549,3,3,2368,6072,1954,184535.69,205808.96,226475.66,246292.29,255848.91,268516.24,313244.8,379379.44,386037.14,22331,382804.97
75067,33.01416,-97.00268,TX,67837,3,3,1950,4739,1953,182188.56,204154.83,224496.06,243493.16,249477.52,259135.04,293884.22,355547.07,363508.74,156952,368949.68
75068,33.17713,-96.95228,TX,65880,4,3,2550,6083,1955,227663.94,251459.9,270048.84,281385.7,281224.5,286430.73,342687.58,434543.01,424275.97,78585,437596.01
75069,33.16805,-96.59671,TX,37479,3,3,2483,3786,1965,225941.55,253125.16,276333.97,291156.56,295511.35,305018.47,357051.06,437391.28,441116.98,82779,444081.32
75070,33.15587,-96.69742,TX,54444,4,3,2695,4974,1959,273185.45,297037,315071.82,321895.03,319403.19,326795.55,390126.34,498136.36,497728.03,119662,513017.07
75071,33.24558,-96.62951,TX,63828,4,3,2711,5332,1983,273492.2,299838,317470.37,324852.57,324796.75,333792.37,402269.55,519700.53,514455.4,68263,524009.88
75074,33.03298,-96.67304,TX,51820,4,3,2073,6524,1975,188369.06,212944.68,236210.97,250852.88,254475.02,262595.76,300320,362807.09,373441.64,108382,374029.87
