zipcode,latitude,longitude,state,population
75001,32.96,-96.84,TX,16287.0
75002,33.09,-96.61,TX,71102.0
75006,32.96,-96.9,TX,48104.0
75007,33.0,-96.9,TX,54448.0
75009,33.34,-96.75,TX,24737.0
75010,33.03,-96.9,TX,30129.0
75013,33.11,-96.69,TX,44807.0
75019,32.96,-96.98,TX,44324.0
75020,33.77,-96.6,TX,23184.0
75021,33.73,-96.48,TX,9327.0
75022,33.03,-97.12,TX,26543.0
75023,33.06,-96.73,TX,48586.0
75024,33.08,-96.81,TX,43331.0
75025,33.09,-96.74,TX,52881.0
75028,33.03,-97.06,TX,46934.0
75032,32.86,-96.43,TX,35056.0
75034,33.12,-96.84,TX,45759.0
75035,33.16,-96.77,TX,81512.0
75038,32.87,-96.98,TX,32128.0
75039,32.89,-96.94,TX,22046.0
75040,32.93,-96.62,TX,64565.0
75041,32.88,-96.65,TX,31451.0
75042,32.91,-96.67,TX,38184.0
75043,32.86,-96.58,TX,64845.0
75044,32.96,-96.65,TX,45895.0
75048,32.97,-96.58,TX,26956.0
75050,32.77,-97.0,TX,43422.0
75051,32.73,-96.99,TX,39783.0
75052,32.66,-97.03,TX,95745.0
75054,32.6,-97.03,TX,15820.0
75056,33.08,-96.91,TX,64243.0
75057,33.05,-96.98,TX,16855.0
75058,33.45,-96.74,TX,3369.0
75060,32.8,-96.95,TX,49473.0
75061,32.83,-96.97,TX,56959.0
75062,32.85,-96.96,TX,51846.0
75063,32.91,-97.0,TX,43705.0
75065,33.11,-97.01,TX,12549.0
75067,33.01,-97.0,TX,67837.0
75068,33.18,-96.95,TX,65880.0
75069,33.17,-96.6,TX,37479.0
75070,33.16,-96.7,TX,54444.0
75071,33.25,-96.63,TX,63828.0
75074,33.03,-96.67,TX,51820.0
75075,33.02,-96.74,TX,36221.0
75076,33.8,-96.72,TX,8592.0
75077,33.08,-97.06,TX,39125.0
75078,33.25,-96.81,TX,35939.0
75080,32.97,-96.74,TX,52420.0
75081,32.95,-96.71,TX,36683.0
75082,32.99,-96.67,TX,26801.0
75087,32.95,-96.44,TX,39202.0
75089,32.93,-96.54,TX,35203.0
75090,33.61,-96.55,TX,24866.0
75092,33.65,-96.7,TX,26794.0
75093,33.04,-96.81,TX,46868.0
75094,33.02,-96.61,TX,23345.0
75098,33.01,-96.54,TX,64326.0
75103,32.51,-95.88,TX,15900.0
75104,32.58,-96.97,TX,49566.0
75110,32.08,-96.52,TX,30555.0
75114,32.61,-96.44,TX,6438.0
75115,32.6,-96.86,TX,55879.0
75116,32.66,-96.91,TX,21105.0
75117,32.71,-95.85,TX,4753.0
75119,32.32,-96.59,TX,28765.0
75124,32.33,-95.97,TX,5205.0
75125,32.53,-96.62,TX,7198.0
75126,32.74,-96.45,TX,60232.0
75134,32.62,-96.78,TX,19341.0
75135,33.07,-96.23,TX,8075.0
75137,32.63,-96.91,TX,19352.0
75140,32.64,-95.69,TX,7365.0
